seq,name_zh,name_en,name_alt,country,day_no,date,modern_location,ancient_toponym,gps,opening_hours,admission,duration,scripture_refs,bible_books,story_summary,key_figures,historical_era,theological_significance,life_application,discussion_questions,archaeological_findings,historical_strata,accuracy_rating,key_artifacts,tour_route_position,best_time,dress_code,photo_restrictions,crowd_levels,safety_notes,accessibility,nearby_dining,accommodation,nearby_biblical_sites,local_products,recommendation_score,physical_comment
13,士每拿,Smyrna,現今伊茲密爾 İzmir,土耳其,6,3/18,土耳其第三大城伊茲密爾（İzmir）市中心,士每拿（Smyrna），意為「沒藥」,"38.4192°N, 27.1287°E（古市集遺址 Agora）",古市集（Agora）08:30–19:00（冬季至 17:00）,古市集約 100 TL,45–60 分鐘,啟 2:8–11,啟示錄,「士每拿」原意為「沒藥」，人們稱之為「亞細亞的冠冕」。士每拿教會是啟示錄七教會中僅有的兩間未被責備的教會之一（另一間是非拉鐵非）。主耶穌對士每拿教會說：「你將要受的苦你不用怕……你務要至死忠心，我就賜給你那生命的冠冕。」（啟 2:10）。早期教父坡旅甲（Polycarp）是使徒約翰的門徒，擔任士每拿主教，於主後 155 年在此殉道，被活活燒死時仍堅不否認主名。,坡旅甲（Polycarp，使徒約翰門徒、士每拿主教、殉道者）,初代教會至早期教父時期（主後 1–2 世紀）,士每拿教會雖然貧窮、受苦，主卻說他們是「富足的」（啟 2:9）。沒藥是用於膏抹死者的香料，士每拿教會的名字本身就預示了他們將經歷苦難。然而「至死忠心」的教會得到生命冠冕的應許。這教導我們：信仰的富足不在物質，而在對主的忠心。,在順境中容易跟隨主，但在逼迫或患難中呢？你願意為信仰付出什麼代價？,坡旅甲在火焰中說出「八十六年來我事奉基督，祂從未虧待我」。這句話如何激勵你？ ｜ 主說士每拿教會「你是貧窮的，卻是富足的」。你如何理解信仰中的「貧窮」與「富足」？,古市集（Agora）是士每拿唯一保存至今的希臘羅馬遺跡。可見修復的科林斯式柱廊、拱廊建築基礎，以及仍在運作的古羅馬飲水系統。,前 3000 年最早聚落 → 希臘城邦 → 羅馬時期重建 → 拜占庭 → 鄂圖曼 → 現代伊茲密爾,高（啟示錄記載與歷史文獻吻合）,科林斯式柱廊（完整的柱冠）、羅馬時期飲水系統（至今仍在運作）,行程第 6 天第三站,下午，遺址周圍咖啡廳可小歇,一般穿著即可,,遊客不多，現代城市包圍中的安靜遺址,,,,Kaya İzmir Thermal & Convention（5 星）,以弗所（南方約 1 小時車程）,,★★★★☆（未被責備的教會，坡旅甲殉道之城）,遺址規模不大但氣氛寧靜。仍在運作的羅馬飲水系統是意外亮點。
14,撒狄,Sardis,,土耳其,7,3/19,土耳其馬尼薩省薩爾特（Sart）村,撒狄（Sardis），呂底亞王國首都,"38.4875°N, 28.0400°E",08:30–19:00（冬季至 17:00）,約 100 TL,1.5–2 小時,啟 3:1–6,啟示錄,撒狄是呂底亞王國的首都，歷史上第一座鑄造金幣與銀幣的城市。傳奇的克羅索斯王（Croesus）以其驚人財富聞名於世。然而主耶穌對撒狄教會的評語極為嚴厲：「你按名是活的，其實是死的」（啟 3:1）。撒狄城位於懸崖峭壁上，因地勢險要而自恃安全，卻兩次因疏於防守而被敵人夜間攀爬城牆攻破。主耶穌警告：「若不儆醒，我必臨到你那裡，如同賊一樣。」,克羅索斯王（呂底亞末代國王，以富有著稱）,呂底亞王國（前 7–前 6 世紀）至初代教會（主後 1 世紀末）,撒狄教會的警告直指「有名無實」的信仰危機。外表繁榮的教會可能內裡已經死去。正如撒狄城因自恃安全而被攻破，信徒若不儆醒，信仰同樣會從內部瓦解。但主也安慰：仍有少數人「未曾污穢自己的衣服」，他們要穿白衣與主同行。,你的信仰是「有名是活的」還是真正活潑有力？有什麼需要「儆醒」的地方？,撒狄城兩次因自恃安全而被攻破。在你的信仰生活中，有什麼是你認為「穩如泰山」卻可能疏忽的？ ｜ 「仍有幾名未曾污穢自己衣服的」——在一個沉睡的信仰環境中，你如何做那少數醒著的人？,遺址包括小亞細亞最大的綜合體育館（gymnasium）與最完整的猶太會堂遺跡，後者可容納上千人。還有一座規模僅次於以弗所的亞底米神殿遺跡。拜占庭時期的小教堂緊鄰神殿。,呂底亞王國首都 → 波斯帝國（皇家大道終點）→ 希臘化 → 羅馬 → 拜占庭 → 荒廢,高,猶太會堂馬賽克地板、亞底米神殿殘柱、呂底亞金幣出土遺跡,行程第 7 天第一站,上午光線最佳,戶外遺址，舒適步行鞋,,遊客適中,,,,,非拉鐵非（東南約 45 分鐘車程）,,★★★★★（啟示錄七教會之一，猶太會堂遺跡令人驚嘆）,猶太會堂的規模之大超乎想像，馬賽克地板保存完好。亞底米神殿旁的小教堂形成有趣的信仰對比。
15,非拉鐵非,Philadelphia,現今阿拉謝希爾 Alaşehir,土耳其,7,3/19,土耳其馬尼薩省阿拉謝希爾市（Alaşehir）,非拉鐵非（Philadelphia），意為「弟兄之愛」,"38.3539°N, 28.5175°E",,免費（露天遺址散布於現代城鎮中）,30–45 分鐘,啟 3:7–13,啟示錄,非拉鐵非原意為「弟兄之愛」，被稱為「神的城」。主耶穌對非拉鐵非教會說：「我在你面前給你一個敞開的門，是無人能關的」（啟 3:8）。這是啟示錄七教會中另一間未被主責備的教會。主稱讚他們：「你略有一點力量，也曾遵守我的道，沒有棄絕我的名。」,（無特定聖經人物記載）,希臘化時期至初代教會（前 2 世紀–主後 1 世紀末）,非拉鐵非教會只有「一點力量」，卻得到主最大的稱讚和應許。這鼓勵每一位覺得自己微小的信徒——上帝不看重能力大小，而看重是否忠心。主為他們敞開的門，無人能關。「弟兄之愛」的城名也提醒教會應有的核心特質。,你是否因覺得自己「只有一點力量」而灰心？上帝為你敞開了什麼門？,主說「我在你面前給你一個敞開的門，是無人能關的」。你認為這扇門對你來說是什麼？ ｜ 非拉鐵非的名字意為「弟兄之愛」，你的信仰群體如何實踐彼此相愛？,遺址散布在現代城鎮中，可見拜占庭時期教堂牆壁殘跡與部分柱廊。保存狀況一般。,別迦摩王國建城 → 羅馬 → 拜占庭（教會持續至 14 世紀）→ 鄂圖曼,,,行程第 7 天第二站，撒狄之後,,,,遊客極少,,,,,撒狄（西北約 45 分鐘）、希拉波立/棉花堡（東南約 2 小時）,,★★★☆☆（遺址不多，但「弟兄之愛」的屬靈意義深遠）,現代小鎮氣氛親切。遺址規模不大，但在此默想「敞開之門」的應許別有感動。
16,希拉波立 / 棉花堡,Hierapolis,Pamukkale,土耳其,7,3/19,土耳其代尼茲利省棉花堡鎮,希拉波立（Hierapolis，意為「聖城」）,"37.9262°N, 29.1243°E",每日 06:30–21:00（季節調整）,約 700 TL；古溫泉池（Antique Pool）另計約 200 TL,2–3 小時（含棉花堡石灰岩台地與古城遺跡）,西 4:13,歌羅西書,使徒保羅的同工以巴弗在歌羅西、老底嘉和希拉波立三座城市之間服事。保羅在歌羅西書中提到以巴弗「為你們和老底嘉並希拉波立的弟兄多多地勞苦」（西 4:13）。希拉波立古城是希臘羅馬時代的溫泉療養聖地，城中有使徒腓力（Philip）的墓。1988 年希拉波立與棉花堡一同列為世界文化遺產。,使徒腓力（Philip）、以巴弗（Epaphras）,希臘化時期至拜占庭（前 190 年起）,希拉波立的溫泉水是溫的——既不像老底嘉的冷水可以解渴，也不像棉花堡源頭的熱水可以治療。啟示錄對老底嘉教會的責備「你也不冷也不熱」可能正是以此區域的溫泉為背景。這提醒信徒：信仰不能不冷不熱。,你的信仰生活是火熱的、冰冷的，還是不冷不熱的溫水？,使徒腓力為什麼選擇在希拉波立終老？這座城市有什麼吸引力？ ｜ 棉花堡的白色石灰岩台地被稱為「棉花城堡」，你覺得上帝創造的自然奇觀如何彰顯祂的榮耀？,古城遺跡包括保存最完整的羅馬劇場之一（可容納一萬二千人）、大浴場、城門、墓園（Necropolis，超過 1200 座墓）。2011 年考古團隊發現被認為是使徒腓力之墓的八角形紀念堂遺跡。,別迦摩王國時期建城 → 羅馬溫泉療養城市 → 拜占庭基督教中心 → 地震後衰落,,使徒腓力墓遺跡（八角形紀念堂）、羅馬劇場、溫泉浴場,行程第 7 天第三站，也是當日重頭戲,傍晚日落時分棉花堡石灰台地最美；古溫泉池中午溫度最舒適,在棉花堡石灰岩台地需赤腳行走（禁止穿鞋）；建議攜帶塑膠袋裝鞋,無特殊限制,旺季非常擁擠，建議清晨或傍晚造訪,石灰岩台地濕滑，赤腳行走務必注意；溫泉池底有古柱散布，小心碰撞,部分步道無障礙，但赤腳區域輪椅不便,棉花堡鎮上有多家餐廳，以土耳其烤肉和在地料理為主,Pamukkale Kaya Thermal Spa Hotel,老底嘉（約 10 分鐘車程）、歌羅西（約 20 分鐘車程）,棉花堡溫泉護膚品、石灰岩紀念品,★★★★★（世界文化遺產級自然奇觀 + 聖經遺跡，必訪）,棉花堡的白色石灰岩台地有種讓人「失語」的美感——超乎文字影像之上。建議帶泳衣在古溫泉池中泡水，水下散落著古羅馬石柱。
17,老底嘉,Laodicea,,土耳其,8,3/20,土耳其代尼茲利省，距代尼茲利市中心約 6 公里,老底嘉（Laodicea ad Lycum）,"37.8360°N, 29.1081°E",08:30–19:00（冬季至 17:00）,約 200 TL,1–1.5 小時,啟 3:14–22　／　西 2:1　／　西 4:13–16,啟示錄、歌羅西書,老底嘉是啟示錄七教會的最後一封書信對象，也是最嚴厲的一封。主耶穌說：「你既如溫水，也不冷也不熱，我必從我口中把你吐出去」（啟 3:16）。老底嘉以富有聞名，是銀行、黑羊毛紡織和眼藥水的產業中心，居民富裕到地震後拒絕羅馬帝國援助而自行重建。然而主說他們「是那困苦、可憐、貧窮、瞎眼、赤身的」。主也在此發出最溫柔的邀請：「看哪，我站在門外叩門，若有聽見我聲音就開門的，我要進到他那裡去，我與他、他與我一同坐席。」（啟 3:20）,以巴弗（Epaphras，歌羅西書中提到的同工）,希臘化時期至初代教會（前 3 世紀–主後 1 世紀末）,老底嘉教會的警告是對物質富足卻靈性貧乏的教會最深刻的提醒。城市的三大特產——金銀、黑羊毛衣、眼藥水——恰好對應主的三個建議：向我買「火煉的金子」、穿「白衣」、用「眼藥」擦眼睛（啟 3:18）。「不冷不熱」的比喻與當地水源有關：希拉波立的熱水可治病、歌羅西的冷泉可解渴，但流到老底嘉的水已變溫，什麼用處都沒有。,物質上的富足是否讓你忽略了靈性上的需要？你是否聽見主在門外叩門的聲音？,「我站在門外叩門」——主為什麼站在教會的門外？這幅畫面對你有什麼衝擊？ ｜ 老底嘉人自認「我是富足，已經發了財，一樣都不缺」，你生命中有類似的盲點嗎？,近年大規模考古發掘揭露了壯觀的敘利亞大道（Syria Street）、大劇場（可容納一萬五千人）、體育場、教堂遺跡和先進的水管系統。水管內的�ite沉積物印證了「溫水」的經文背景。,塞琉古帝國建城（前 261 年）→ 羅馬時期繁榮 → 拜占庭基督教中心 → 地震後逐漸荒廢,高（水管沉積物、城市財富記錄均印證聖經描述）,敘利亞大道、水管石灰沉積物（印證「溫水」）、劇場、教堂遺跡,行程第 8 天第一站,上午光線好，且可避開正午高溫,戶外遺址，帽子和防曬必備,,中等,遺址面積大，石板路面不平,,,,希拉波立/棉花堡（約 10 分鐘）、歌羅西（約 15 分鐘）,,★★★★★（啟示錄七教會完結篇，「叩門」的經典場景）,走進老底嘉時先被廣闊潔白的敘利亞大道震攝，可見昔日城市規模之龐大。與希拉波立、歌羅西隔河相望，三城形成大都會區。
18,使徒約翰之墓及教會遺址,Basilica of St. John,,土耳其,8,3/20,土耳其伊茲密爾省塞爾丘克（Selçuk）鎮，阿亞索魯克山丘上,,"37.9517°N, 27.3673°E",08:30–18:30（冬季至 17:00）,約 200 TL,45–60 分鐘,約翰福音（整卷）／　啟示錄（整卷）,約翰福音、約翰一二三書、啟示錄,據考約翰兩次來到以弗所。第一次約在主後 37–48 年間，離開迦南地，在此奉養耶穌的母親馬利亞直到她終老。第二次約在主後 95 年，在此撰寫約翰福音。查士丁尼大帝於 6 世紀在約翰墓地上興建了一座宏偉的大教堂（Basilica），規模可比美聖索菲亞。,使徒約翰（耶穌所愛的門徒）、聖母馬利亞,初代教會（主後 1 世紀）；大教堂建於 6 世紀,使徒約翰是十二門徒中唯一壽終正寢的，在以弗所度過晚年並寫下約翰福音與啟示錄。他的墓地成為早期基督教最重要的朝聖地之一。約翰在福音書中強調「上帝就是愛」，這份愛的信息從以弗所傳遍世界。,,約翰在年老時仍持續寫作和教導。你如何在人生的每個階段保持信仰的活力？,大教堂遺跡可見壯觀的十字形平面結構、大理石柱基和磚砌拱門。中央傳說為約翰墓所在之處，有一個凹陷的墓穴。2015 年修復工程中發現更多拜占庭壁畫碎片。,使徒約翰墓（1 世紀）→ 早期紀念堂 → 查士丁尼大教堂（6 世紀）→ 塞爾柱城堡 → 遺址,,墓穴遺跡、大教堂馬賽克地板殘片、大理石柱,行程第 8 天第二站，老底嘉之後,傍晚日落時分山丘上景色最佳,一般穿著即可，穿舒適鞋爬山丘,,遊客適中,,,,,以弗所（山丘下方約 3 公里）,,★★★★★（使徒約翰安息之地，信仰朝聖重要一站）,站在山丘頂俯瞰以弗所平原，想像老約翰在此度過晚年，令人感動。傍晚光線中的斷壁殘柱特別有氛圍。
19,以弗所,Ephesus,Efes,土耳其,8,3/20,土耳其伊茲密爾省塞爾丘克鎮,以弗所（Ephesus）,"37.9411°N, 27.3420°E",08:00–19:00（冬季至 17:00）；山坡屋（Terrace Houses）另有時段,約 600 TL；山坡屋另計約 300 TL,2–3 小時,徒 18:19–24　／　徒 19:1–35　／　徒 20:16–29　／　林前 15:32、16:8　／　提前 1:3　／　提後 1:18、4:12　／　啟 2:1–7,使徒行傳、哥林多前書、以弗所書、提摩太前後書、啟示錄,2015 年列入世界遺產。以弗所是初代教會最重要的中心之一。保羅在第二次宣教旅程路過此地，第三次旅程則在此停留約三年，期間完成了哥林多前書的撰寫。在以弗所發生了著名的銀匠底米丟暴動事件——因保羅的傳道導致亞底米女神銀龕的生意下滑（徒 19 章）。保羅離開前在米利都與以弗所長老動情告別（徒 20:17–38）。以弗所也是啟示錄七教會的第一封書信對象，主責備他們「離棄了起初的愛心」。,保羅、亞居拉與百基拉、亞波羅、底米丟（銀匠）、提摩太,希臘化至羅馬時期；初代教會（主後 1 世紀）,以弗所教會從保羅時代的火熱，到啟示錄時代被責備「離棄起初的愛心」，是一個對所有教會的深刻警惕。服事再勞苦、教義再正確，若失去了對基督起初的愛，一切都失去了根基。主呼籲：「應當回想你是從哪裡墜落的，並要悔改，行起初所行的事。」（啟 2:5）,你是否還記得最初認識基督時的感動和熱情？如何回到「起初的愛心」？,保羅在以弗所服事三年，你認為他最大的成就和最大的挑戰是什麼？ ｜ 「離棄起初的愛心」——這對你個人的信仰生活有什麼警醒？,"亞洲保存最好的羅馬古城之一。主要遺跡包括：塞爾蘇斯圖書館（Library of Celsus）、可容納 24,000 人的大劇場（底米丟暴動發生地）、庫里特斯大道、赫丘力士之門、哈德良神殿、公共浴場、山坡屋（富人住宅，馬賽克地板精美）。",希臘殖民城邦（前 10 世紀）→ 呂底亞 → 波斯 → 希臘化 → 羅馬（亞細亞省首府）→ 拜占庭 → 港口淤塞後衰落,高（大劇場、市集等考古發現完全印證使徒行傳記載）,塞爾蘇斯圖書館立面（完整修復）、大劇場、山坡屋馬賽克與壁畫,行程第 8 天第三站，當日重頭戲,上午開門即入，避開旅遊團人潮；或傍晚最後 2 小時較少人,戶外遺址，帽子防曬，舒適步行鞋；夏季非常炎熱,無特殊限制,全年遊客極多，旺季擁擠,石板路濕滑時注意腳步；遺址內無遮蔽注意防曬補水,主要大道可輪椅通行，但部分區域有階梯,,Hotel Charisma De Luxe 或同級（5 星）,使徒約翰之墓（上方山丘）、聖母馬利亞之家（約 7 公里）,以弗所複製幣紀念品、當地橄欖油,★★★★★（土耳其最重要的考古遺跡，聖經名城之最）,沿著羅馬大道走向塞爾蘇斯圖書館的那一刻令人屏息。站在大劇場中想像底米丟暴動的場景，新約聖經彷彿活了過來。建議加購山坡屋門票。
20,拔摩島,Patmos,,希臘,9,3/21,希臘多德卡尼斯群島（Dodecanese），愛琴海東南部,拔摩（Patmos）,"37.3224°N, 26.5478°E",,,郵輪停靠約 5 小時（16:00–21:00）,啟 1:9–21,啟示錄,「我約翰就是你們的弟兄，和你們在耶穌的患難、國度、忍耐裡一同有份，為神的道，並為給耶穌作的見證，曾在那名叫拔摩的海島上。」（啟 1:9）使徒約翰在羅馬皇帝多米田（Domitian）執政期間，約主後 95 年被放逐到這座荒涼小島。然而正是在這座流放之島上，約翰領受了聖經最後一卷書——啟示錄——的異象。,使徒約翰,初代教會（主後 95 年左右）,拔摩島見證了一個深刻的屬靈真理：流放之地可以成為啟示之所。約翰在患難中不是被隔絕於上帝之外，反而更深地進入了神聖的異象。啟示錄的開篇就宣告了基督的掌權：「不要懼怕！我是首先的，我是末後的，又是那存活的。」（啟 1:17–18）,你生命中的「拔摩島」——那個被孤立、被限制的處境——是否也可能成為領受啟示的地方？,約翰在流放中仍稱自己是弟兄們「在患難、國度、忍耐裡一同有份」的。這種群體意識如何幫助你度過孤獨的時刻？ ｜ 啟示錄的異象是在最黑暗的處境中賜下的。你在困難中曾經歷過上帝特別的同在嗎？,島上最重要的遺跡是聖約翰修道院與啟示錄洞窟，1999 年一同被聯合國教科文組織列為世界遺產。,,,,行程第 9 天，郵輪停靠,傍晚抵達，島上光線柔和,進入修道院與洞窟需穿著保守（遮蓋肩膀和膝蓋）,,,上山道路陡峭，可搭巴士或計程車上山,,,,聖約翰修道院、啟示錄洞窟（均在島上）,,★★★★★（啟示錄誕生之地，基督教朝聖聖地）,從海上遠眺拔摩島時的感動難以言喻。時間有限，建議直接搭車上山先看修道院和洞窟。
21,聖約翰修道院,Monastery of Saint John the Theologian,,希臘,9,3/21,希臘拔摩島（Patmos）最高點霍拉（Chora）,,"37.3116°N, 26.5473°E",每日 08:00–13:30，部分日加開 16:00–18:00（季節調整）,免費或小額捐獻,30–45 分鐘,啟 1:9–21,啟示錄,興建於 1088 年，由蒙福者赫里斯托杜洛斯（Christodoulos）在拜占庭皇帝阿歷克塞一世的資助下建造。這座希臘正教修道院位於拔摩島的最高處，俯瞰全島，也是全島各處都可見到的建築物。由於當時拔摩島常面臨海盜威脅，修道院建得像一座碉堡，高大的城牆和塔樓至今保存完好。拜占庭式建築風格，1999 年被聯合國教科文組織列為世界遺產。,使徒約翰,拜占庭帝國（1088 年始建）,修道院建在約翰領受啟示錄異象之島的最高處，象徵信仰的高瞻遠矚。修士們千年來在此持續禱告與抄寫聖經，延續了約翰見證真理的使命。,,,"修道院內保存大量珍貴文物，包括主後 6 世紀的馬可福音手抄本、拜占庭聖像畫、金銀器物和古代手稿。圖書館收藏超過 2,000 件手抄本與 13,000 份文獻。",,,6 世紀馬可福音手抄本、拜占庭聖像畫、古代手稿收藏,行程第 9 天，拔摩島停靠期間,,進入修道院需穿著保守：遮蓋肩膀與膝蓋；入口提供披巾,內部禁止拍照與錄影,郵輪停靠日遊客較多，建議快速前往,上山道路較陡，可搭車或步行,,,,,,★★★★★（世界遺產，千年修道院的莊嚴肅穆）,修道院像一座矗立在海天之間的堡壘，內部幽暗的迴廊與燭光聖像營造出深沉的敬拜氛圍。從城牆上眺望愛琴海令人難忘。
22,啟示錄洞窟,Cave of the Apocalypse,天啟洞穴 Apocalypse Cave,希臘,9,3/21,希臘拔摩島，霍拉與斯卡拉港之間的半山腰,,"37.3165°N, 26.5469°E",每日 08:00–13:30，部分日加開 16:00–18:00,免費,15–20 分鐘,啟 1:9–21,啟示錄,傳統上認為使徒約翰在這個洞穴中住了兩年，在此領受啟示錄的異象並口述給門徒普羅科魯斯（Prochorus）記錄。洞內天花板上垂掛七盞銀燈檯，代表約翰在異象中所見的七盞燈。洞壁上有三道裂縫，據說代表三位一體的上帝。遊客可以看見當時約翰休息時的石枕，以及老約翰禱告後藉力站起來的扶手凹痕。,使徒約翰、普羅科魯斯（Prochorus，記錄者）,初代教會（主後 95 年左右）,這個不起眼的小洞穴誕生了聖經最末一卷——也是最具末世異象的一卷書。上帝選擇在人看為卑微的地方啟示最偉大的真理，正如馬槽中誕生的救主。,上帝往往在你最意想不到的環境中向你說話。你是否準備好在「洞穴」般的處境中聆聽？,約翰在洞穴中看見的異象改變了整個基督教的末世觀。你認為啟示錄最核心的信息是什麼？,,,,石枕（約翰休息處）、扶手凹痕、天花板裂縫（象徵三位一體）、七盞銀燈檯,行程第 9 天，通常在聖約翰修道院之後下山途中參觀,,穿著保守，遮蓋肩膀與膝蓋,洞窟內嚴禁拍照,空間狹小，排隊等候時間視郵輪客流量而定,,洞穴入口有台階，輪椅不便,,,,,★★★★★（啟示錄誕生之地，震撼心靈的朝聖體驗）,洞穴空間非常小，但每一寸都充滿歷史與信仰的重量。安靜地站在約翰曾經領受異象之處，是這趟旅程最深刻的時刻之一。
23,聖托里尼,Santorini,Thera,希臘,10,3/22,希臘基克拉澤斯群島（Cyclades），愛琴海南部,,"36.3932°N, 25.4615°E",,,郵輪停靠約 14 小時（08:00–22:00），導遊帶路自由活動,,,,,,,,,聖托里尼島是一座火山口遺跡。約前 1600 年的米諾斯大爆發（Minoan Eruption）摧毀了島上的文明，形成現今壯觀的月牙形火山口（Caldera）地貌。哲學家柏拉圖著作中「亞特蘭提斯大陸」傳說的源頭之一。南部的阿克羅蒂里（Akrotiri）遺址保存了火山灰下的史前城市，被稱為「愛琴海的龐貝」。,米諾斯文明（前 3000 年）→ 火山大爆發（前 1600 年）→ 希臘殖民 → 拜占庭 → 威尼斯 → 鄂圖曼 → 現代希臘,,,行程第 10 天，郵輪自由活動日,日落時分在伊亞（Oia）觀賞全球最美日落,輕便夏裝，防曬帽與墨鏡必備,,全年遊客極多，尤其日落時段的伊亞人山人海,懸崖邊步道注意安全；纜車排隊時間長，可考慮驢子或步行,,費拉（Fira）與伊亞（Oia）有眾多景觀餐廳，建議提前預約懸崖邊座位,,,聖托里尼火山葡萄酒（Vinsanto）、番茄醬、驢子造型紀念品,★★★★★（全球最浪漫的島嶼之一，火山口景色舉世無雙）,沿著懸崖建立的白色城市、藍頂教堂、火山遺跡——聖托里尼的美讓人不願離開。自由活動日建議安排費拉到伊亞的懸崖步道健行。
